ENTREZID	SYMBOL	ENSEMBL
215	10393	ANAPC10	ENSG00000164162
216	10403	NDC80	ENSG00000080986
217	10426	TUBGCP3	ENSG00000126216
218	10426	TUBGCP3	ENSG00000282003
219	10459	MAD2L2	ENSG00000116670
220	10527	IPO7	ENSG00000205339
221	10549	PRDX4	ENSG00000123131
222	10592	SMC2	ENSG00000136824
223	10606	PAICS	ENSG00000128050
224	10615	SPAG5	ENSG00000076382
225	10635	RAD51AP1	ENSG00000111247
226	10682	EBP	ENSG00000147155
227	10744	PTTG2	ENSG00000250254
228	10844	TUBGCP2	ENSG00000130640
229	10926	DBF4	ENSG00000006634
230	10982	MAPRE2	ENSG00000166974
231	11065	UBE2C	ENSG00000175063
232	11113	CIT	ENSG00000122966
233	11130	ZWINT	ENSG00000122952
234	11163	NUDT4	ENSG00000173598
235	11169	WDHD1	ENSG00000198554
236	11186	RASSF1	ENSG00000068028
237	11200	CHEK2	ENSG00000183765
238	22919	MAPRE1	ENSG00000101367
239	22948	CCT5	ENSG00000150753
240	23012	STK38L	ENSG00000211455
241	23085	ERC1	ENSG00000082805
242	23085	ERC1	ENSG00000283017
243	23224	SYNE2	ENSG00000054654
244	23345	SYNE1	ENSG00000131018
245	23462	HEY1	ENSG00000164683
246	23594	ORC6	ENSG00000091651
247	24137	KIF4A	ENSG00000090889
248	25788	RAD54B	ENSG00000197275
249	25886	POC1A	ENSG00000164087
250	26255	PTTG3P	ENSG00000213005
251	26271	FBXO5	ENSG00000112029
252	26586	CKAP2	ENSG00000136108
253	27175	TUBG2	ENSG00000037042
254	27338	UBE2S	ENSG00000108106
255	28957	MRPS28	ENSG00000147586
256	29028	ATAD2	ENSG00000156802
257	29089	UBE2T	ENSG00000077152
258	29127	RACGAP1	ENSG00000161800
259	29882	ANAPC2	ENSG00000176248
260	29893	PSMC3IP	ENSG00000131470
261	29945	ANAPC4	ENSG00000053900
262	51053	GMNN	ENSG00000112312
263	51071	DERA	ENSG00000023697
264	51154	MRTO4	ENSG00000053372
265	51293	CD320	ENSG00000167775
266	51318	MRPL35	ENSG00000132313
267	51343	FZR1	ENSG00000105325
268	51373	MRPS17	ENSG00000239789
269	51433	ANAPC5	ENSG00000089053
270	51434	ANAPC7	ENSG00000196510
271	51435	SCARA3	ENSG00000168077
272	51491	NOP16	ENSG00000048162
273	51512	GTSE1	ENSG00000075218
274	51514	DTL	ENSG00000143476
275	51529	ANAPC11	ENSG00000141552
276	51659	GINS2	ENSG00000131153
277	53827	FXYD5	ENSG00000089327
278	54165	DCUN1D1	ENSG00000043093
279	54407	SLC38A2	ENSG00000134294
280	54443	ANLN	ENSG00000011426
281	54478	FAM64A	ENSG00000129195
282	54962	TIPIN	ENSG00000075131
283	55010	PARPBP	ENSG00000185480
284	55143	CDCA8	ENSG00000134690
285	55165	CEP55	ENSG00000138180
286	55233	MOB1A	ENSG00000114978
287	55355	HJURP	ENSG00000123485
288	55743	CHFR	ENSG00000072609
289	55839	CENPN	ENSG00000166451
290	55872	PBK	ENSG00000168078
291	56647	BCCIP	ENSG00000107949
292	56776	FMN2	ENSG00000155816
293	56886	UGGT1	ENSG00000136731
294	56992	KIF15	ENSG00000163808
295	56992	KIF15	ENSG00000280610
296	57018	CCNL1	ENSG00000163660
297	57405	SPC25	ENSG00000152253
298	57405	SPC25	ENSG00000277909
299	57650	KIAA1524	ENSG00000163507
300	58498	MYL7	ENSG00000106631
301	64105	CENPK	ENSG00000123219
302	64151	NCAPG	ENSG00000109805
303	64423	INF2	ENSG00000203485
304	64682	ANAPC1	ENSG00000153107
305	64946	CENPH	ENSG00000153044
306	79019	CENPM	ENSG00000100162
307	79080	CCDC86	ENSG00000110104
308	79733	E2F8	ENSG00000129173
309	79866	BORA	ENSG00000136122
310	81611	ANP32E	ENSG00000143401
311	81669	CCNL2	ENSG00000221978
312	81892	SLIRP	ENSG00000119705
313	81930	KIF18A	ENSG00000121621
314	83540	NUF2	ENSG00000143228
315	84057	MND1	ENSG00000121211
316	84084	RAB6C	ENSG00000222014
317	84790	TUBA1C	ENSG00000167553
318	84930	MASTL	ENSG00000120539
319	85417	CCNB3	ENSG00000147082
320	94239	H2AFV	ENSG00000105968
321	113130	CDCA5	ENSG00000146670
322	126961	HIST2H3C	ENSG00000203811
323	147841	SPC24	ENSG00000161888
324	166979	CDC20B	ENSG00000164287
325	259266	ASPM	ENSG00000066279
326	342184	FMN1	ENSG00000248905
327	342184	FMN1	ENSG00000282513
